locs,techs,resource_unit
CNOR,Hydrodam_PP_ex,energy_per_cap
CNOR,Hydroror_PP_ex,energy_per_cap
CNOR,PV_PP_ex,energy_per_cap
CNOR,PV_roof_ex,energy_per_cap
CNOR,Wind_PP_ex,energy_per_cap
CNOR,demand_power,energy
CSUD,Hydrodam_PP_ex,energy_per_cap
CSUD,Hydroror_PP_ex,energy_per_cap
CSUD,PHS_PP_ex,energy
CSUD,PV_PP_ex,energy_per_cap
CSUD,PV_roof_ex,energy_per_cap
CSUD,Wind_PP_ex,energy_per_cap
CSUD,demand_power,energy
NORD,Hydrodam_PP_ex,energy_per_cap
NORD,Hydroror_PP_ex,energy_per_cap
NORD,PHS_PP_ex,energy
NORD,PV_PP_ex,energy_per_cap
NORD,PV_roof_ex,energy_per_cap
NORD,Wind_PP_ex,energy_per_cap
NORD,demand_power,energy
SARD,Hydrodam_PP_ex,energy_per_cap
SARD,Hydroror_PP_ex,energy_per_cap
SARD,PHS_PP_ex,energy
SARD,PV_PP_ex,energy_per_cap
SARD,PV_roof_ex,energy_per_cap
SARD,Wind_PP_ex,energy_per_cap
SARD,Wind_off_PP_1,energy_per_cap
SARD,Wind_off_PP_2,energy_per_cap
SARD,demand_power,energy
SICI,Hydrodam_PP_ex,energy_per_cap
SICI,Hydroror_PP_ex,energy_per_cap
SICI,PHS_PP_ex,energy
SICI,PV_PP_ex,energy_per_cap
SICI,PV_roof_ex,energy_per_cap
SICI,Wind_PP_ex,energy_per_cap
SICI,Wind_off_PP_4,energy_per_cap
SICI,demand_power,energy
SUD,Hydrodam_PP_ex,energy_per_cap
SUD,Hydroror_PP_ex,energy_per_cap
SUD,PV_PP_ex,energy_per_cap
SUD,PV_roof_ex,energy_per_cap
SUD,Wind_PP_ex,energy_per_cap
SUD,Wind_off_PP_3,energy_per_cap
SUD,Wind_off_PP_5,energy_per_cap
SUD,demand_power,energy
